Designator,Mid X,Mid Y,Rotation,Layer
C1,188.62,-76.65,45.0,top
C10,136.85,-103.74,0.0,top
C11,129.19,-103.82,0.0,top
C12,116.4,-101.51,270.0,top
C13,116.32,-96.53,270.0,top
C14,116.36,-89.87,270.0,top
C15,112.73,-78.67,0.0,top
C16,103.5,-78.77,0.0,top
C17,98.28,-78.83,0.0,top
C18,79.52,-86.42,90.0,top
C19,73.51,-93.19,90.0,top
C2,185.23,-80.53,45.0,top
C20,70.32,-94.39,0.0,top
C21,65.71,-94.41,0.0,top
C22,60.99,-94.42,0.0,top
C23,54.99,-94.41,0.0,top
C24,47.85,-93.3,0.0,top
C25,40.39,-93.25,0.0,top
C26,34.06,-93.28,0.0,top
C27,46.84,-90.8,315.0,top
C28,43.76,-87.57,315.0,top
C29,40.57,-84.42,315.0,top
C3,181.35,-84.46,45.0,top
C30,37.39,-81.17,315.0,top
C31,34.11,-77.92,315.0,top
C32,30.92,-74.7,315.0,top
C33,27.63,-71.52,315.0,top
C34,24.42,-68.33,315.0,top
C35,21.11,-64.96,315.0,top
C36,17.73,-61.57,315.0,top
C37,14.67,-58.61,315.0,top
C38,50.49,-20.6,135.0,top
C39,55.27,-25.18,135.0,top
C4,136.15,-177.67,90.0,top
C40,59.41,-29.44,135.0,top
C41,64.34,-34.22,135.0,top
C42,69.22,-39.0,135.0,top
C43,74.19,-44.13,135.0,top
C44,79.01,-48.91,135.0,top
C45,83.7,-53.61,135.0,top
C46,137.21,-177.67,90.0,top
C47,91.77,-58.65,180.0,top
C48,95.05,-60.66,135.0,top
C49,98.28,-63.69,135.0,top
C5,173.58,-92.28,45.0,top
C50,101.82,-67.12,135.0,top
C51,105.13,-70.55,135.0,top
C52,159.21,-173.34,90.0,top
C53,129.84,-92.86,90.0,top
C54,129.82,-85.31,90.0,top
C55,129.81,-78.82,90.0,top
C56,129.81,-72.4,90.0,top
C57,122.62,-67.16,90.0,top
C58,119.44,-60.63,90.0,top
C59,125.99,-58.14,0.0,top
C6,160.48,-97.35,0.0,top
C60,121.79,-38.99,135.0,top
C61,121.1,-26.47,90.0,top
C62,121.06,-21.12,90.0,top
C63,121.13,-15.76,90.0,top
C64,153.15,-33.78,45.0,top
C65,149.18,-37.68,45.0,top
C66,145.21,-41.7,45.0,top
C67,141.17,-45.65,45.0,top
C68,134.56,-52.21,45.0,top
C69,146.16,-65.32,90.0,top
C7,153.26,-98.97,0.0,top
C70,146.16,-70.98,90.0,top
C71,146.17,-76.64,90.0,top
C72,146.12,-82.34,90.0,top
C73,139.48,-87.6,0.0,top
C74,112.43,-176.51,270.0,top
C75,92.07,-114.87,315.0,top
C76,100.08,-128.03,270.0,top
C77,99.95,-136.63,270.0,top
C78,106.14,-142.31,0.0,top
C79,110.91,-148.05,270.0,top
C8,149.68,-102.48,0.0,top
C80,110.97,-152.17,270.0,top
C81,111.0,-156.08,270.0,top
C82,110.53,-161.3,270.0,top
C83,112.49,-168.73,270.0,top
C84,75.61,-172.78,90.0,top
C85,83.21,-163.15,180.0,top
C86,173.99,-141.07,315.0,top
C87,137.92,-123.05,0.0,top
C88,143.19,-123.02,0.0,top
C89,151.86,-128.04,315.0,top
C9,143.49,-103.68,0.0,top
C90,155.22,-131.38,315.0,top
C91,160.58,-131.92,45.0,top
C92,166.42,-133.26,315.0,top
C93,170.55,-137.15,315.0,top
C94,158.08,-173.34,90.0,top
C95,181.19,-100.53,0.0,top
C96,186.01,-100.57,0.0,top
C97,190.77,-100.59,0.0,top
C98,195.61,-100.64,0.0,top
C99,200.44,-100.63,0.0,top
CG,87.58,-57.55,135.0,top
CR,177.49,-88.41,45.0,top
J1,144.835,-177.93,90.0,top
LED1,188.15,-78.41,90.0,top
LED10,136.82,-105.14,90.0,top
